paper_id,title,comment,abstract,image,category
1,SingDistVis: 多数の歌声から歌い方の傾向を可視化できるインタフェース,準備中,"人々が自身の歌った動画を動画共有サービスへ投稿する機会が増え，同一楽曲を異なる人々がそれぞれ歌った「同曲異唱コンテンツ」を楽しむことができるようになった．このような歌唱群の傾向を理解する一手段として，歌い方としての基本周波数（F0）推移の分布をOverview機能とDetail機能の組み合わせによりインタラクティブに可視化できる歌声情報可視化インタフェースSingDistVisを提案する．本論文では，1,000人の歌唱者による同曲異唱を可視化し，被験者実験による最適化と有効性評価を行った結果を報告する．",FALSE,L
2,ダンスフォーメーション作成のための候補提示型インタフェース,準備中,本研究では，ダンスのフォーメーションや移動経路を効率的に設計するための「候補提示型」ユーザインタフェースを提案する．本システムはユーザが描いた少数のダンサーの移動経路をもとに，残りのダンサーの移動経路をルールベースで複数予測する．これらの候補は計算された優先度の高いものから順にサムネイル形式で提示され，ユーザはその中から一つを選択することで残りのダンサーの経路をまとめて生成できる．本研究では4人の参加者に対してユーザテストを実施し，提案システムがフォーメーション移動の作成に役立つことを確認した．,FALSE,L
3,歌唱時に高音の発声ができるようになるVR映像の提案と評価,準備中,歌唱時の正しい発声には，音程やリズムなど様々な要素が関わっており，それらをすべて意識しながらの発声は困難である．そこで本研究では，視覚刺激によって発声者の姿勢やメンタル状態を誘導すれば効果的な発声練習を実現できると考え，VR(Virtual Reality)映像を用いた視覚刺激を活用し，歌唱時の発声を暗黙的に支援するシステムの構築を試みる．映像の内容によってユーザの高音の発声のしやすさ及び発声時の姿勢に生じる変化について調査を行った．,FALSE,S
4,Human-in-the-Loop型適応によるインタラクティブな音楽的拍節解析,準備中,準備中,FALSE,L
5,色の修飾語を用いた対話的なイラストの色編集,準備中,イラスト制作の際，色の編集は非常に重要な工程である．しかし，色を調整するには複数のパラメータ（例：RGB値やHSV値）を設定しなければならず，特に初心者ユーザにとって，頭の中で想像する色を見つけることは非常に難しい．そこで本研究では，Lighter等の色に関する単語（修飾語）を用いて，効率的に色空間内を探索する手法を提案する．具体的には，ユーザは修飾語を指定することで，修飾語に対するカラースライダを自動生成するものである．また，本システムは複数の領域に対して同時に色の編集を行うことができるため，画像全体の色の関係を維持したまま編集することができる．更に初心者ユーザとアマチュアアーティストを対象としたユーザテストを実施し，本研究の有用性を検証した．,FALSE,S
6,Knowledge ComposTer: 知識断片の再活用による継続的な創造活動支援シ ステム,準備中,ワードプロセッサやプレゼンテーションツールによって，個人は複数のファイルを日々継続的に創造している．本稿では，メモの蓄積，思考の整理，プレゼンテーションの作成，文書作成を，過去に作り出されたファイルの一部（知識断片）を再活用しながら行うことができるシステムを提案する．本システムは，一度生成された知識断片を再活用可能なように漏れなく収集する．また，知識断片の生成から活用までの一連のプロセスを分析可能なように操作ログを収集する．,FALSE,S
7,実世界と順序型コンテンツを連携したIoTプログラミング学習支援システム,準備中,近年，IoT が一般化している中で，IoT デバイスの動作や仕組みを他者と共有する場面が増えてきている．さらにコロナ禍に伴い，各教育機関においても，動画やスライド等を用いたオンライン講義の導入が進められている．一方，こうした手法は実世界のデバイスやソースコードとのリンクに乏しい等の問題があった．そこで本研究は，Web上で共有される動画やスライドにスクリプト言語を同期させ，実世界のIoT デバイスや編集可能なソースコードと連携させることで，IoTプログラミング学習を支援するシステム「IoTeach」を提案・開発する．,FALSE,L
8,部屋の3次元縮小モデルを用いたMR空間内における仮想オブジェクト配置,準備中,本研究では，MRにおいてWiM手法を利用し，オブジェクトの配置を支援するシステムを提案する．我々は，まず基本設計となるプロトタイプを作成した．その後，縮小オブジェクトの直接操作の特性，およびその特性に影響を与えるMRデバイスの特性を調査するための実験を行った．実験の結果，縮小オブジェクトの直接操作は，オブジェクトの探索，移動，および身体的負担において有効であり，またMRデバイスの視野角およびハンドトラッキング精度による影響が示唆された．,FALSE,S
9,Color-Path: 手本動作のAR表示によるヘアアレンジ再現支援システム,準備中,本論文では，ヘアアイロンを用いたヘアアレンジにおいて未経験の巻き方を気軽に行うために，ヘアアイロンの操作軌道をユーザに提示するスマートミラー型のヘアアレンジ支援システムを提案する．実験では，このシステムを使った際に手本のヘアアイロンの操作軌道が再現できているか，手本の操作軌道が再現できたときに見た目が再現できているかを確認することで，提示の有効性を評価した．,FALSE,S
10,時間歪曲機能を用いたVRスキートレーニングの拡張,準備中,準備中,FALSE,S
11,ドライブレコーダのデータから旅行の思い出動画を自動生成するwebサービスの実装,準備中,ドライブレコーダのデータを活用し，ドライブ旅行の思い出を要約動画として自動生成するシステムを提案する．本システムはドライブ旅行に特化したイベントの抽出やエフェクトの追加，明るさの調整を自動で行う．また，本システムを広く使用してもらうために専用のwebページを公開した．ユーザは本webページにドライブレコーダのデータをアップロードすることで，旅の要約動画を簡単に手に入れることができる．,FALSE,S
12,TSUGITE: インタラクティブな木工ジョイントの設計・加工システム,準備中,本研究では，フレーム構造用の木材ジョイントを設計・製作するためのインタラクティブなシステム「Tsugite」を提案する．ユーザーはリアルタイムのグラフィカルなフィードバックを受けながらジョイントを編集し，スライド方向，加工性，接合方向に対する耐久性などの性能指標に基づいた提案を受けることができる．接合部の設計が完了すると，3軸のCNCフライス盤を用いて，コーナーの丸みをつけて接合性を確保する専用のパス設計アルゴリズムを用いて接合部を製造することができる．,FALSE,S
13,空間ラベリング：非専門家による画像注釈のラベル品質を改善するための空間レイアウトの活用,準備中,非専門家による画像注釈において、ラベルの品質は重要な問題である。本研究では、非専門家の画像注釈のラベル品質を改善するために空間レイアウトを活用することを提案する。画像ラベリングタスクを用いて本システムと従来の非空間レイアウトを比較するユーザー調査を行った。結果として、アノテーターは非空間レイアウトインターフェイスよりも空間レイアウトインターフェイスを使用することで、より正確にラベリングタスクを完了できることを示した。  ,FALSE,S
14,対戦アクションゲームにおけるプレイヤーの挙動観察のためのシーン検索,準備中,対戦型格闘ゲームのプレイヤーが強くなるための支援をする．対戦中のある瞬間の画像をクエリーとして入力すると，その画像と似通った状況のシーンを複数検索して提示する．検索結果を再生することで，強いプレイヤーならクエリーの状況からどういった行動をとるのかについて観察できる．上級プレイヤーの動画を観察しながらCPU対戦を繰り返したとき，提案手法を用いることでより高いレベルのCPUに勝てるようになった．,FALSE,S
15,Corridor-Walker: 視覚障害者が障害物を回避し交差点を認識するためのスマートフォン型屋内歩行支援システム,準備中,本研究では屋内の通路を歩く視覚障害者がスマートフォン1台を用いて障害物を回避し，交差点を認識するためのシステムを提案する．システムはLiDARセンサを用いて作成した周囲の地図を基に障害物を回避する経路の生成および交差点の位置と形状の検出を行い，ビープ音，音声，振動を用いてユーザを案内する．実験からシステムを使うことでユーザは障害物を回避し，目的の交差点でその形状を認識したうえで曲がることが可能になった ．,FALSE,L
16,CircWood: CWレーザー加工機による炭化を利用した木製回路基板,準備中,"レーザー加工機で木材表面を部分的に炭化させ，木材に直接センサや回路を作成する手法を提案する．
一般的なプリント基板の配線と同様，炭化部分は導電性を有する配線として機能する．
本手法では，パーソナルファブリケーションで頻繁に使用されるCWレーザー加工機を用い，タッチセンサ，ダメージセンサ，荷重センサなどのさまざまなセンサや回路を作成できる．
作成したセンサや回路は木工DIYで一般的に使用される金属製のネジや釘を使用しプリント基板やマイコンなどに容易に接続できる．""",FALSE,S
17,ペイント可能なタイムラインによる対話的なハイパーパラメータ最適化,準備中,準備中,FALSE,S
18,液体噴霧混合式の味ディスプレイの試作,準備中,準備中,FALSE,S
19,UPLIGHT: 全周囲ディスプレイと携帯型ゲームデバイスの融合,準備中,我々は，立方体や球等の高さと側面を持つ構造物の隠れた部分に着目し，この隠れを身体を動かして能動的に見に行く行為がエンタテインメント性を持っていると仮説を立てた．本論文では，このエンタテインメント性を，シングルユーザ向けの携帯ゲーム機の操作メタファと融合させることで生まれた新たな全周囲ディスプレイデバイス「UPLIGHT」を提案し，試作した筐体・アプリ，デモ活動を通して得た知見・考察について述べる．,FALSE,S
20,能動的音響計測に基づくスタイラスの把持状態識別手法の検討,準備中,準備中,FALSE,S
